Temp,Alpha
80.01,1.63E-07
80.03,8.71E-07
80.05,1.99E-06
80.06,3.38E-06
80.08,4.90E-06
80.1,6.66E-06
80.11,8.99E-06
80.13,1.20E-05
80.15,1.56E-05
80.16,2.01E-05
80.18,2.55E-05
80.2,3.20E-05
80.21,3.94E-05
80.23,4.73E-05
80.24,5.51E-05
80.26,6.24E-05
80.28,6.94E-05
80.29,7.62E-05
80.31,8.27E-05
80.33,8.89E-05
80.34,9.50E-05
80.36,1.01E-04
80.38,1.08E-04
80.39,1.15E-04
80.41,1.23E-04
80.43,1.31E-04
80.44,1.40E-04
80.46,1.48E-04
80.48,1.56E-04
80.49,1.64E-04
80.51,1.72E-04
80.53,1.80E-04
80.55,1.89E-04
80.56,1.98E-04
80.58,2.09E-04
80.59,2.20E-04
80.61,2.32E-04
80.63,2.45E-04
80.65,2.58E-04
80.66,2.72E-04
80.68,2.86E-04
80.69,3.00E-04
80.71,3.14E-04
80.73,3.29E-04
80.74,3.43E-04
80.76,3.58E-04
80.78,3.73E-04
80.79,3.87E-04
80.81,4.02E-04
80.83,4.18E-04
80.84,4.34E-04
80.86,4.51E-04
80.88,4.68E-04
80.89,4.86E-04
80.91,5.05E-04
80.93,5.23E-04
80.95,5.43E-04
80.96,5.62E-04
80.98,5.82E-04
81,6.03E-04
81.01,6.24E-04
81.03,6.45E-04
81.04,6.67E-04
81.06,6.90E-04
81.08,7.12E-04
81.1,7.35E-04
81.11,7.58E-04
81.13,7.80E-04
81.15,8.02E-04
81.16,8.24E-04
81.18,8.46E-04
81.2,8.69E-04
81.21,8.92E-04
81.23,9.17E-04
81.25,9.42E-04
81.26,9.67E-04
81.28,9.92E-04
81.3,1.02E-03
81.31,1.04E-03
81.33,1.07E-03
81.35,1.09E-03
81.36,1.12E-03
81.38,1.14E-03
81.4,1.17E-03
81.41,1.20E-03
81.43,1.23E-03
81.45,1.26E-03
81.46,1.29E-03
81.48,1.32E-03
81.5,1.35E-03
81.51,1.38E-03
81.53,1.41E-03
81.55,1.44E-03
81.56,1.47E-03
81.58,1.51E-03
81.6,1.54E-03
81.61,1.57E-03
81.63,1.61E-03
81.65,1.64E-03
81.66,1.68E-03
81.68,1.72E-03
81.7,1.75E-03
81.71,1.79E-03
81.73,1.83E-03
81.75,1.86E-03
81.76,1.90E-03
81.78,1.94E-03
81.8,1.98E-03
81.81,2.01E-03
81.83,2.05E-03
81.85,2.09E-03
81.86,2.13E-03
81.88,2.18E-03
81.9,2.22E-03
81.91,2.26E-03
81.93,2.31E-03
81.95,2.36E-03
81.96,2.41E-03
81.98,2.45E-03
82,2.50E-03
82.01,2.55E-03
82.03,2.60E-03
82.05,2.65E-03
82.06,2.70E-03
82.08,2.75E-03
82.1,2.80E-03
82.11,2.85E-03
82.13,2.90E-03
82.15,2.95E-03
82.16,3.00E-03
82.18,3.05E-03
82.2,3.10E-03
82.21,3.15E-03
82.23,3.20E-03
82.25,3.25E-03
82.26,3.30E-03
82.28,3.35E-03
82.3,3.40E-03
82.31,3.45E-03
82.33,3.50E-03
82.35,3.55E-03
82.36,3.61E-03
82.38,3.66E-03
82.4,3.71E-03
82.41,3.76E-03
82.43,3.81E-03
82.45,3.86E-03
82.46,3.91E-03
82.48,3.96E-03
82.5,4.01E-03
82.51,4.06E-03
82.53,4.12E-03
82.55,4.17E-03
82.56,4.23E-03
82.58,4.28E-03
82.6,4.34E-03
82.61,4.40E-03
82.63,4.45E-03
82.65,4.51E-03
82.66,4.57E-03
82.68,4.63E-03
82.7,4.69E-03
82.71,4.75E-03
82.73,4.81E-03
82.75,4.87E-03
82.76,4.93E-03
82.78,4.99E-03
82.8,5.06E-03
82.81,5.12E-03
82.83,5.18E-03
82.85,5.24E-03
82.86,5.30E-03
82.88,5.36E-03
82.9,5.42E-03
82.91,5.49E-03
82.93,5.55E-03
82.95,5.61E-03
82.96,5.68E-03
82.98,5.75E-03
83,5.82E-03
83.01,5.88E-03
83.03,5.95E-03
83.05,6.02E-03
83.06,6.09E-03
83.08,6.16E-03
83.1,6.23E-03
83.11,6.30E-03
83.13,6.37E-03
83.15,6.44E-03
83.16,6.51E-03
83.18,6.57E-03
83.2,6.64E-03
83.21,6.71E-03
83.23,6.78E-03
83.25,6.85E-03
83.26,6.92E-03
83.28,6.99E-03
83.3,7.06E-03
83.31,7.13E-03
83.33,7.20E-03
83.35,7.27E-03
83.36,7.34E-03
83.38,7.41E-03
83.4,7.48E-03
83.41,7.55E-03
83.43,7.62E-03
83.45,7.69E-03
83.46,7.76E-03
83.48,7.84E-03
83.5,7.91E-03
83.51,7.99E-03
83.53,8.06E-03
83.55,8.14E-03
83.56,8.22E-03
83.58,8.30E-03
83.6,8.37E-03
83.61,8.45E-03
83.63,8.54E-03
83.65,8.62E-03
83.66,8.70E-03
83.68,8.79E-03
83.7,8.87E-03
83.71,8.96E-03
83.73,9.04E-03
83.75,9.13E-03
83.76,9.22E-03
83.78,9.30E-03
83.8,9.39E-03
83.81,9.48E-03
83.83,9.57E-03
83.85,9.65E-03
83.86,9.74E-03
83.88,9.83E-03
83.9,9.92E-03
83.91,0.010003
83.93,0.010092
83.95,0.01018
83.96,0.01027
83.98,0.01036
84,0.010451
84.01,0.010542
84.03,0.010633
84.05,0.010724
84.06,0.010816
84.08,0.010908
84.1,0.011001
84.11,0.011095
84.13,0.011189
84.15,0.011284
84.17,0.011381
84.18,0.011478
84.2,0.011576
84.22,0.011675
84.23,0.011776
84.25,0.011877
84.26,0.011979
84.28,0.012082
84.3,0.012185
84.31,0.012288
84.33,0.012391
84.35,0.012494
84.37,0.012596
84.38,0.012698
84.4,0.012801
84.41,0.012904
84.43,0.013008
84.45,0.013112
84.47,0.013216
84.48,0.01332
84.5,0.013424
84.51,0.013528
84.53,0.013633
84.55,0.013738
84.56,0.013845
84.58,0.013951
84.6,0.014059
84.62,0.014167
84.63,0.014275
84.65,0.014384
84.67,0.014493
84.68,0.014603
84.7,0.014713
84.71,0.014823
84.73,0.014934
84.75,0.015045
84.76,0.015157
84.78,0.015269
84.8,0.015382
84.81,0.015495
84.83,0.01561
84.85,0.015725
84.87,0.015841
84.88,0.015958
84.9,0.016075
84.91,0.016194
84.93,0.016313
84.95,0.016432
84.97,0.016552
84.98,0.016672
85,0.016792
85.02,0.016912
85.03,0.017033
85.05,0.017153
85.06,0.017273
85.08,0.017394
85.1,0.017515
85.12,0.017637
85.13,0.017759
85.15,0.017882
85.17,0.018006
85.18,0.01813
85.2,0.018255
85.21,0.01838
85.23,0.018506
85.25,0.018633
85.26,0.018761
85.28,0.018889
85.3,0.019017
85.32,0.019145
85.33,0.019274
85.35,0.019404
85.37,0.019534
85.38,0.019664
85.4,0.019795
85.42,0.019927
85.43,0.020059
85.45,0.020192
85.47,0.020326
85.48,0.02046
85.5,0.020595
85.52,0.02073
85.53,0.020866
85.55,0.021002
85.57,0.021138
85.58,0.021276
85.6,0.021414
85.62,0.021552
85.63,0.021692
85.65,0.021833
85.67,0.021976
85.68,0.022119
85.7,0.022264
85.72,0.02241
85.73,0.022556
85.75,0.022703
85.77,0.02285
85.78,0.022997
85.8,0.023143
85.82,0.02329
85.83,0.023436
85.85,0.023584
85.87,0.023732
85.88,0.023881
85.9,0.024031
85.92,0.024181
85.93,0.024332
85.95,0.024482
85.97,0.024633
85.98,0.024784
86,0.024936
86.02,0.025087
86.03,0.025238
86.05,0.025391
86.07,0.025544
86.08,0.025697
86.1,0.025851
86.12,0.026006
86.13,0.02616
86.15,0.026316
86.17,0.026472
86.18,0.026628
86.2,0.026785
86.22,0.026942
86.23,0.0271
86.25,0.027258
86.27,0.027418
86.28,0.027579
86.3,0.027741
86.32,0.027904
86.33,0.028067
86.35,0.028232
86.37,0.028396
86.38,0.028562
86.4,0.028727
86.42,0.028893
86.43,0.029058
86.45,0.029224
86.47,0.02939
86.48,0.029556
86.5,0.029723
86.52,0.02989
86.53,0.030058
86.55,0.030227
86.57,0.030397
86.58,0.030567
86.6,0.030738
86.62,0.030909
86.63,0.03108
86.65,0.031251
86.67,0.031423
86.68,0.031595
86.7,0.031768
86.72,0.031942
86.73,0.032116
86.75,0.032291
86.77,0.032468
86.78,0.032646
86.8,0.032826
86.82,0.033007
86.83,0.03319
86.85,0.033373
86.87,0.033558
86.89,0.033742
86.9,0.033927
86.92,0.034112
86.93,0.034297
86.95,0.034482
86.97,0.034667
86.98,0.034853
87,0.03504
87.02,0.035227
87.03,0.035415
87.05,0.035605
87.07,0.035795
87.08,0.035986
87.1,0.036177
87.12,0.036369
87.13,0.036562
87.15,0.036755
87.17,0.036949
87.18,0.037144
87.2,0.03734
87.22,0.037537
87.23,0.037735
87.25,0.037933
87.27,0.038131
87.28,0.03833
87.3,0.038529
87.32,0.038728
87.34,0.038929
87.35,0.039131
87.37,0.039336
87.38,0.039543
87.4,0.039751
87.42,0.039962
87.43,0.040173
87.45,0.040386
87.47,0.040601
87.48,0.040816
87.5,0.041032
87.52,0.041248
87.53,0.041465
87.55,0.041683
87.57,0.041902
87.58,0.042122
87.6,0.042342
87.62,0.042562
87.63,0.042783
87.65,0.043004
87.67,0.043225
87.68,0.043446
87.7,0.043668
87.72,0.043891
87.73,0.044114
87.75,0.044339
87.77,0.044564
87.78,0.04479
87.8,0.045016
87.82,0.045242
87.84,0.045469
87.85,0.045697
87.87,0.045926
87.88,0.046154
87.9,0.046384
87.92,0.046614
87.94,0.046844
87.95,0.047076
87.97,0.047308
87.98,0.047541
88,0.047774
88.02,0.048007
88.03,0.04824
88.05,0.048475
88.07,0.048711
88.08,0.048947
88.1,0.049184
88.12,0.049422
88.13,0.049662
88.15,0.049903
88.17,0.050145
88.18,0.050388
88.2,0.050633
88.22,0.050879
88.23,0.051126
88.25,0.051374
88.27,0.051623
88.28,0.051872
88.3,0.052122
88.32,0.052372
88.34,0.052622
88.35,0.052873
88.37,0.053125
88.39,0.053377
88.4,0.05363
88.42,0.053883
88.43,0.054138
88.45,0.054393
88.47,0.05465
88.49,0.054909
88.5,0.055169
88.52,0.055431
88.54,0.055695
88.55,0.05596
88.57,0.056225
88.58,0.056492
88.6,0.056759
88.62,0.057027
88.64,0.057295
88.65,0.057563
88.67,0.057833
88.69,0.058103
88.7,0.058373
88.72,0.058644
88.74,0.058915
88.75,0.059187
88.77,0.059459
88.78,0.059731
88.8,0.060004
88.82,0.060279
88.84,0.060554
88.85,0.060832
88.87,0.06111
88.89,0.06139
88.9,0.061671
88.92,0.061954
88.94,0.062238
88.95,0.062522
88.97,0.062808
88.99,0.063094
89,0.06338
89.02,0.063668
89.04,0.063955
89.05,0.064243
89.07,0.064532
89.09,0.064821
89.1,0.065109
89.12,0.065398
89.14,0.065686
89.15,0.065976
89.17,0.066266
89.19,0.066558
89.2,0.066851
89.22,0.067145
89.24,0.067441
89.25,0.067737
89.27,0.068035
89.29,0.068333
89.3,0.068631
89.32,0.06893
89.34,0.069228
89.35,0.069527
89.37,0.069826
89.39,0.070126
89.4,0.070427
89.42,0.070729
89.44,0.071033
89.45,0.071338
89.47,0.071644
89.49,0.071952
89.5,0.072262
89.52,0.072573
89.54,0.072885
89.55,0.073198
89.57,0.073512
89.59,0.073828
89.6,0.074145
89.62,0.074462
89.64,0.07478
89.65,0.075099
89.67,0.075419
89.69,0.075739
89.7,0.076061
89.72,0.076384
89.74,0.076707
89.75,0.077031
89.77,0.077355
89.79,0.07768
89.8,0.078005
89.82,0.078329
89.83,0.078654
89.85,0.078979
89.87,0.079305
89.89,0.079633
89.9,0.079962
89.92,0.080292
89.94,0.080624
89.95,0.080957
89.97,0.081291
89.98,0.081626
90,0.081961
90.02,0.082298
90.04,0.082634
90.05,0.082972
90.07,0.083311
90.09,0.08365
90.1,0.083989
90.12,0.08433
90.13,0.084671
90.15,0.085013
90.17,0.085356
90.19,0.0857
90.2,0.086046
90.22,0.086393
90.24,0.086742
90.25,0.087093
90.27,0.087445
90.29,0.087799
90.3,0.088153
90.32,0.088509
90.34,0.088866
90.35,0.089223
90.37,0.089582
90.39,0.089941
90.4,0.090302
90.42,0.090663
90.44,0.091024
90.45,0.091386
90.47,0.091748
90.49,0.092112
90.5,0.092478
90.52,0.092846
90.54,0.093216
90.55,0.093588
90.57,0.093962
90.59,0.094338
90.6,0.094715
90.62,0.095093
90.64,0.095472
90.65,0.095853
90.67,0.096234
90.69,0.096616
90.7,0.097
90.72,0.097385
90.74,0.097772
90.75,0.09816
90.77,0.098549
90.79,0.09894
90.8,0.099331
90.82,0.099723
90.84,0.10012
90.85,0.10051
90.87,0.1009
90.89,0.10129
90.9,0.10169
90.92,0.10208
90.94,0.10248
90.95,0.10287
90.97,0.10327
90.99,0.10367
91,0.10407
91.02,0.10447
91.04,0.10487
91.05,0.10527
91.07,0.10568
91.09,0.10608
91.1,0.10648
91.12,0.10689
91.14,0.1073
91.15,0.1077
91.17,0.10812
91.19,0.10853
91.2,0.10894
91.22,0.10936
91.24,0.10978
91.25,0.1102
91.27,0.11062
91.29,0.11104
91.3,0.11146
91.32,0.11188
91.34,0.11231
91.35,0.11273
91.37,0.11316
91.39,0.11359
91.4,0.11402
91.42,0.11446
91.44,0.11489
91.45,0.11533
91.47,0.11577
91.49,0.11621
91.5,0.11665
91.52,0.1171
91.54,0.11754
91.55,0.11799
91.57,0.11844
91.59,0.11889
91.6,0.11934
91.62,0.11979
91.64,0.12024
91.65,0.1207
91.67,0.12116
91.69,0.12161
91.7,0.12207
91.72,0.12253
91.74,0.123
91.76,0.12346
91.77,0.12392
91.79,0.12439
91.8,0.12486
91.82,0.12532
91.84,0.12579
91.85,0.12626
91.87,0.12673
91.89,0.1272
91.9,0.12767
91.92,0.12815
91.94,0.12862
91.95,0.1291
91.97,0.12958
91.99,0.13006
92.01,0.13055
92.02,0.13103
92.04,0.13152
92.05,0.132
92.07,0.13249
92.09,0.13297
92.1,0.13346
92.12,0.13395
92.14,0.13444
92.15,0.13493
92.17,0.13542
92.19,0.13592
92.2,0.13641
92.22,0.1369
92.24,0.1374
92.25,0.1379
92.27,0.13839
92.29,0.13889
92.3,0.13939
92.32,0.13989
92.34,0.1404
92.35,0.1409
92.37,0.1414
92.39,0.14191
92.4,0.14241
92.42,0.14292
92.44,0.14342
92.45,0.14393
92.47,0.14444
92.49,0.14495
92.5,0.14546
92.52,0.14597
92.54,0.14648
92.56,0.147
92.57,0.14751
92.59,0.14803
92.61,0.14855
92.62,0.14907
92.64,0.1496
92.65,0.15012
92.67,0.15065
92.69,0.15117
92.71,0.1517
92.72,0.15223
92.74,0.15276
92.75,0.1533
92.77,0.15383
92.79,0.15437
92.8,0.1549
92.82,0.15544
92.84,0.15598
92.86,0.15653
92.87,0.15707
92.89,0.15761
92.91,0.15816
92.92,0.15871
92.94,0.15925
92.95,0.1598
92.97,0.16035
92.99,0.16091
93,0.16146
93.02,0.16201
93.04,0.16257
93.06,0.16313
93.07,0.16369
93.09,0.16425
93.1,0.16481
93.12,0.16538
93.14,0.16594
93.15,0.16651
93.17,0.16708
93.19,0.16764
93.21,0.16821
93.22,0.16879
93.24,0.16936
93.25,0.16993
93.27,0.17051
93.29,0.17109
93.3,0.17167
93.32,0.17225
93.34,0.17284
93.36,0.17342
93.37,0.17401
93.39,0.17459
93.41,0.17518
93.42,0.17577
93.44,0.17636
93.46,0.17696
93.47,0.17755
93.49,0.17815
93.51,0.17875
93.52,0.17934
93.54,0.17994
93.56,0.18054
93.57,0.18114
93.59,0.18174
93.61,0.18234
93.62,0.18295
93.64,0.18355
93.66,0.18415
93.67,0.18476
93.69,0.18536
93.71,0.18597
93.72,0.18658
93.74,0.18719
93.76,0.1878
93.77,0.18841
93.79,0.18903
93.81,0.18965
93.82,0.19026
93.84,0.19088
93.86,0.1915
93.87,0.19212
93.89,0.19274
93.91,0.19336
93.92,0.19399
93.94,0.19461
93.96,0.19524
93.97,0.19587
93.99,0.1965
94.01,0.19713
94.02,0.19776
94.04,0.19839
94.06,0.19903
94.07,0.19966
94.09,0.2003
94.11,0.20094
94.12,0.20159
94.14,0.20223
94.16,0.20288
94.17,0.20352
94.19,0.20417
94.21,0.20482
94.22,0.20547
94.24,0.20612
94.26,0.20677
94.27,0.20743
94.29,0.20808
94.31,0.20874
94.32,0.2094
94.34,0.21006
94.36,0.21072
94.37,0.21138
94.39,0.21204
94.41,0.21271
94.42,0.21337
94.44,0.21404
94.46,0.21471
94.47,0.21538
94.49,0.21605
94.51,0.21673
94.52,0.2174
94.54,0.21808
94.56,0.21876
94.57,0.21944
94.59,0.22012
94.61,0.2208
94.62,0.22149
94.64,0.22217
94.66,0.22286
94.67,0.22355
94.69,0.22424
94.71,0.22493
94.72,0.22562
94.74,0.22632
94.76,0.22701
94.77,0.22771
94.79,0.2284
94.81,0.2291
94.82,0.2298
94.84,0.23051
94.86,0.23121
94.87,0.23192
94.89,0.23262
94.91,0.23333
94.92,0.23404
94.94,0.23475
94.96,0.23547
94.97,0.23618
94.99,0.23689
95.01,0.23761
95.02,0.23833
95.04,0.23905
95.06,0.23977
95.07,0.2405
95.09,0.24122
95.11,0.24194
95.12,0.24267
95.14,0.2434
95.16,0.24413
95.17,0.24486
95.19,0.2456
95.21,0.24634
95.22,0.24708
95.24,0.24782
95.26,0.24857
95.27,0.24931
95.29,0.25006
95.31,0.25081
95.32,0.25156
95.34,0.25231
95.36,0.25307
95.37,0.25382
95.39,0.25458
95.41,0.25533
95.42,0.25609
95.44,0.25685
95.46,0.25761
95.47,0.25837
95.49,0.25914
95.51,0.2599
95.52,0.26067
95.54,0.26144
95.56,0.26221
95.57,0.26298
95.59,0.26375
95.61,0.26453
95.62,0.26531
95.64,0.26609
95.66,0.26687
95.67,0.26765
95.69,0.26844
95.71,0.26923
95.72,0.27002
95.74,0.27081
95.76,0.2716
95.77,0.2724
95.79,0.27319
95.81,0.27399
95.82,0.27479
95.84,0.27558
95.86,0.27638
95.87,0.27719
95.89,0.27799
95.91,0.27879
95.92,0.2796
95.94,0.28041
95.96,0.28122
95.97,0.28203
95.99,0.28284
96.01,0.28366
96.02,0.28447
96.04,0.28529
96.06,0.28611
96.07,0.28693
96.09,0.28775
96.11,0.28857
96.12,0.28939
96.14,0.29022
96.16,0.29104
96.17,0.29187
96.19,0.2927
96.21,0.29354
96.22,0.29437
96.24,0.29521
96.26,0.29605
96.27,0.29688
96.29,0.29773
96.31,0.29857
96.32,0.29941
96.34,0.30026
96.36,0.30111
96.37,0.30196
96.39,0.30281
96.41,0.30366
96.42,0.30452
96.44,0.30538
96.46,0.30624
96.47,0.3071
96.49,0.30796
96.51,0.30882
96.52,0.30969
96.54,0.31056
96.56,0.31143
96.57,0.3123
96.59,0.31317
96.61,0.31405
96.62,0.31493
96.64,0.31581
96.66,0.31669
96.68,0.31757
96.69,0.31846
96.71,0.31934
96.73,0.32023
96.74,0.32112
96.76,0.32201
96.77,0.32291
96.79,0.3238
96.81,0.3247
96.82,0.3256
96.84,0.3265
96.86,0.3274
96.87,0.32831
96.89,0.32921
96.91,0.33012
96.93,0.33103
96.94,0.33195
96.96,0.33286
96.98,0.33378
96.99,0.33469
97.01,0.33561
97.02,0.33653
97.04,0.33746
97.06,0.33838
97.08,0.33931
97.09,0.34023
97.11,0.34116
97.13,0.34209
97.14,0.34303
97.16,0.34396
97.17,0.3449
97.19,0.34584
97.21,0.34679
97.23,0.34773
97.24,0.34868
97.26,0.34962
97.28,0.35057
97.29,0.35152
97.31,0.35247
97.32,0.35342
97.34,0.35438
97.36,0.35533
97.38,0.35629
97.39,0.35725
97.41,0.35821
97.42,0.35918
97.44,0.36014
97.46,0.36111
97.48,0.36208
97.49,0.36306
97.51,0.36403
97.53,0.36501
97.54,0.36599
97.56,0.36697
97.58,0.36796
97.59,0.36894
97.61,0.36992
97.63,0.37091
97.64,0.3719
97.66,0.37289
97.68,0.37389
97.69,0.37488
97.71,0.37588
97.73,0.37687
97.74,0.37787
97.76,0.37888
97.78,0.37988
97.79,0.38088
97.81,0.38189
97.83,0.3829
97.84,0.38391
97.86,0.38492
97.88,0.38594
97.89,0.38695
97.91,0.38797
97.93,0.38899
97.94,0.39001
97.96,0.39104
97.98,0.39207
97.99,0.3931
98.01,0.39413
98.03,0.39516
98.04,0.3962
98.06,0.39724
98.08,0.39828
98.09,0.39933
98.11,0.40037
98.13,0.40142
98.14,0.40247
98.16,0.40352
98.18,0.40457
98.19,0.40562
98.21,0.40668
98.23,0.40774
98.24,0.4088
98.26,0.40986
98.28,0.41092
98.29,0.41198
98.31,0.41305
98.33,0.41412
98.34,0.41519
98.36,0.41626
98.38,0.41734
98.39,0.41842
98.41,0.4195
98.43,0.42058
98.44,0.42167
98.46,0.42276
98.48,0.42385
98.49,0.42494
98.51,0.42603
98.53,0.42712
98.54,0.42822
98.56,0.42931
98.58,0.43041
98.59,0.43151
98.61,0.43261
98.63,0.43371
98.64,0.43482
98.66,0.43592
98.68,0.43703
98.69,0.43814
98.71,0.43926
98.73,0.44037
98.74,0.44149
98.76,0.44261
98.78,0.44373
98.79,0.44485
98.81,0.44598
98.83,0.44711
98.84,0.44824
98.86,0.44937
98.88,0.4505
98.89,0.45164
98.91,0.45277
98.93,0.45391
98.94,0.45505
98.96,0.45619
98.98,0.45734
98.99,0.45848
99.01,0.45963
99.03,0.46078
99.04,0.46193
99.06,0.46308
99.08,0.46423
99.09,0.46539
99.11,0.46654
99.13,0.4677
99.14,0.46886
99.16,0.47002
99.18,0.47118
99.19,0.47234
99.21,0.4735
99.23,0.47467
99.24,0.47584
99.26,0.47701
99.28,0.47818
99.29,0.47936
99.31,0.48053
99.33,0.48172
99.34,0.4829
99.36,0.48408
99.38,0.48527
99.39,0.48646
99.41,0.48765
99.43,0.48884
99.44,0.49003
99.46,0.49122
99.48,0.49241
99.49,0.49361
99.51,0.49481
99.53,0.49601
99.54,0.49721
99.56,0.49842
99.58,0.49963
99.59,0.50084
99.61,0.50205
99.63,0.50327
99.64,0.50448
99.66,0.5057
99.68,0.50692
99.69,0.50815
99.71,0.50937
99.73,0.5106
99.74,0.51183
99.76,0.51306
99.78,0.51429
99.79,0.51553
99.81,0.51677
99.83,0.51802
99.84,0.51926
99.86,0.52051
99.88,0.52176
99.89,0.52301
99.91,0.52426
99.93,0.52552
99.94,0.52678
99.96,0.52804
99.98,0.5293
99.99,0.53056
100.01,0.53183
100.03,0.5331
100.04,0.53436
100.06,0.53564
100.08,0.53691
100.09,0.53818
100.11,0.53946
100.13,0.54074
100.14,0.54202
100.16,0.5433
100.18,0.54459
100.19,0.54587
100.21,0.54716
100.23,0.54846
100.24,0.54975
100.26,0.55105
100.28,0.55235
100.3,0.55365
100.31,0.55495
100.33,0.55626
100.35,0.55757
100.36,0.55888
100.38,0.5602
100.39,0.56151
100.41,0.56283
100.43,0.56415
100.45,0.56547
100.46,0.5668
100.48,0.56812
100.5,0.56945
100.51,0.57078
100.53,0.57212
100.54,0.57345
100.56,0.57479
100.58,0.57613
100.6,0.57747
100.61,0.57881
100.63,0.58016
100.64,0.58151
100.66,0.58286
100.68,0.58421
100.69,0.58557
100.71,0.58692
100.73,0.58828
100.74,0.58964
100.76,0.59101
100.78,0.59237
100.79,0.59374
100.81,0.59511
100.83,0.59648
100.84,0.59786
100.86,0.59924
100.88,0.60062
100.89,0.602
100.91,0.60339
100.93,0.60477
100.95,0.60616
100.96,0.60755
100.98,0.60894
101,0.61033
101.01,0.61173
101.03,0.61312
101.05,0.61452
101.06,0.61592
101.08,0.61732
101.1,0.61872
101.11,0.62013
101.13,0.62154
101.15,0.62295
101.16,0.62436
101.18,0.62578
101.2,0.6272
101.21,0.62863
101.23,0.63005
101.25,0.63148
101.26,0.63291
101.28,0.63435
101.29,0.63578
101.31,0.63722
101.33,0.63866
101.35,0.6401
101.36,0.64155
101.38,0.643
101.4,0.64445
101.41,0.6459
101.43,0.64736
101.45,0.64881
101.46,0.65027
101.48,0.65174
101.5,0.65321
101.51,0.65468
101.53,0.65615
101.55,0.65762
101.56,0.6591
101.58,0.66058
101.6,0.66207
101.61,0.66355
101.63,0.66504
101.65,0.66653
101.66,0.66802
101.68,0.66952
101.7,0.67102
101.71,0.67251
101.73,0.67402
101.75,0.67552
101.76,0.67703
101.78,0.67854
101.8,0.68006
101.81,0.68158
